Order ID,Date,Brand,Model,Region,Specification,Store Name,Unit Price,Cost per Unit,Quantity,Sales,Profit,Revenue
ORD0034,2022-08-07,Samsung,Galaxy Watch 6,Central,"GPS + Cellular, Sleep Track",Fit Gear,366,339,1,366,27,366
ORD0035,2024-01-04,Garmin,Instinct 2,Central,Bluetooth Only,SmartTech,346,284,9,3114,558,3114
ORD0036,2024-06-22,Samsung,Galaxy Watch 5,West,EDA Sensor,Tech World,347,298,4,1388,196,1388
ORD0037,2022-07-21,Amazfit,T-Rex 2,West,"GPS + Cellular, GPS",Tech World,233,196,5,1165,185,1165
ORD0038,2022-07-29,Garmin,Instinct 2,South,Bluetooth Only,Fit Gear,348,306,10,3480,420,3480
ORD0039,2024-07-19,Fitbit,Sense 2,North,"Health Monitor, GPS + Cellular",iHub,254,228,5,1270,130,1270
ORD0040,2023-09-25,Fitbit,Charge 6,West,"AMOLED, EDA Sensor, GPS",SmartTech,129,29,8,1032,800,1032
ORD0041,2024-05-09,Amazfit,GTS 4 Mini,Central,"AMOLED, Military Std, Bluetooth Only",Online Mart,103,44,5,515,295,515
ORD0042,2023-09-16,Garmin,Forerunner 955,North,"GPS + Cellular, EDA Sensor, Health Monitor",Gadget Zone,532,458,6,3192,444,3192
ORD0043,2021-04-30,Garmin,Instinct 2,South,AMOLED,iHub,312,251,2,624,122,624
ORD0044,2024-07-17,Garmin,Instinct 2,Central,"Health Monitor, AMOLED, Military Std",Digital Mall,304,231,5,1520,365,1520
ORD0045,2020-11-24,Garmin,Venu 2,West,"Military Std, Health Monitor, Sleep Track",Online Mart,366,314,10,3660,520,3660
ORD0046,2020-08-06,Apple,Watch Series 8,North,"GPS + Cellular, Health Monitor",SmartTech,392,350,10,3920,420,3920
ORD0047,2023-02-05,Apple,Watch Series 9,Central,AMOLED,iHub,467,382,7,3269,595,3269
ORD0048,2022-01-28,Amazfit,GTR 4,West,"Bluetooth Only, GPS + Cellular",Fit Gear,212,135,2,424,154,424
ORD0049,2022-09-01,Garmin,Forerunner 955,East,"AMOLED, GPS + Cellular, Bluetooth Only",Digital Mall,529,467,2,1058,124,1058
ORD0050,2024-07-21,Apple,Watch Ultra 2,West,"AMOLED, Bluetooth Only, GPS + Cellular",Online Mart,773,746,9,6957,243,6957
ORD0051,2020-07-02,Garmin,Venu 2,East,"Bluetooth Only, GPS",Online Mart,388,313,1,388,75,388
ORD0052,2024-09-28,Samsung,Galaxy Watch 6,Central,"Military Std, AMOLED, Sleep Track",iHub,363,340,5,1815,115,1815
ORD0053,2023-08-05,Apple,Watch Series 9,West,"Rugged, EDA Sensor",Digital Mall,479,436,10,4790,430,4790
ORD0054,2021-02-06,Garmin,Forerunner 955,West,Rugged,iHub,512,483,3,1536,87,1536
ORD0055,2020-12-04,Garmin,Venu 2,West,"Bluetooth Only, GPS + Cellular, Sleep Track",SmartTech,363,292,6,2178,426,2178
ORD0056,2023-05-05,Apple,Watch Series 8,South,"Sleep Track, GPS + Cellular, Bluetooth Only",Fit Gear,351,320,1,351,31,351
ORD0057,2020-12-06,Apple,Watch SE,West,"EDA Sensor, Rugged",Digital Mall,258,158,7,1806,700,1806
ORD0058,2022-10-21,Fitbit,Versa 4,East,Military Std,SmartTech,218,142,9,1962,684,1962
ORD0059,2021-06-15,Fitbit,Sense 2,Central,Health Monitor,SmartTech,265,184,5,1325,405,1325
ORD0060,2022-12-25,Apple,Watch Ultra 2,Central,GPS,iHub,753,718,7,5271,245,5271
ORD0061,2023-04-13,Fitbit,Versa 4,Central,"Military Std, AMOLED",iHub,222,182,9,1998,360,1998
ORD0062,2023-08-26,Fitbit,Versa 4,North,"Rugged, GPS + Cellular",Gadget Zone,214,167,2,428,94,428
ORD0063,2023-11-07,Amazfit,T-Rex 2,North,"EDA Sensor, AMOLED, GPS",Fit Gear,235,166,2,470,138,470
ORD0064,2021-12-05,Apple,Watch SE,North,"Health Monitor, Sleep Track",Fit Gear,267,204,2,534,126,534
ORD0065,2024-08-20,Samsung,Galaxy Watch 6,South,"Sleep Track, Bluetooth Only",Gadget Zone,351,273,6,2106,468,2106
ORD0066,2020-06-13,Apple,Watch Ultra 2,West,"GPS + Cellular, Sleep Track, Bluetooth Only",iHub,796,708,7,5572,616,5572
ORD0067,2022-07-11,Garmin,Venu 2,North,"GPS, AMOLED, Health Monitor",Online Mart,361,295,8,2888,528,2888
ORD0068,2020-02-15,Apple,Watch Series 9,West,"Rugged, Sleep Track",Digital Mall,440,344,8,3520,768,3520
ORD0069,2020-01-30,Garmin,Instinct 2,North,Rugged,Fit Gear,340,318,5,1700,110,1700
ORD0070,2023-12-30,Apple,Watch Ultra 2,West,"AMOLED, Bluetooth Only",iHub,713,625,4,2852,352,2852
ORD0071,2020-06-29,Fitbit,Versa 4,West,Military Std,iHub,202,168,4,808,136,808
ORD0072,2024-03-13,Garmin,Instinct 2,North,"Sleep Track, AMOLED, GPS",iHub,312,266,5,1560,230,1560
ORD0073,2024-08-09,Samsung,Galaxy Watch 6,South,"Sleep Track, Health Monitor",SmartTech,358,321,6,2148,222,2148
ORD0074,2022-06-21,Garmin,Venu 2,South,Health Monitor,Online Mart,398,360,9,3582,342,3582
ORD0075,2020-02-12,Fitbit,Versa 4,East,"Health Monitor, AMOLED, Rugged",SmartTech,203,150,10,2030,530,2030
ORD0076,2020-05-02,Amazfit,GTS 4 Mini,West,"Sleep Track, GPS",Online Mart,124,76,1,124,48,124
ORD0077,2021-04-24,Samsung,Galaxy Watch 5,South,"Sleep Track, GPS + Cellular",iHub,303,237,10,3030,660,3030
ORD0078,2021-04-07,Samsung,Galaxy Watch 6,North,"Bluetooth Only, Sleep Track, Rugged",Online Mart,338,247,4,1352,364,1352
ORD0079,2024-04-19,Apple,Watch Series 9,West,"Bluetooth Only, Rugged",Digital Mall,472,389,5,2360,415,2360
ORD0080,2021-05-23,Garmin,Instinct 2,Central,"Bluetooth Only, Health Monitor, Rugged",Gadget Zone,308,252,9,2772,504,2772
ORD0081,2021-07-08,Garmin,Instinct 2,West,"AMOLED, Rugged, Sleep Track",iHub,323,278,7,2261,315,2261
ORD0082,2020-06-19,Amazfit,GTR 4,North,Bluetooth Only,Digital Mall,179,141,8,1432,304,1432
ORD0083,2023-02-08,Apple,Watch Series 8,West,"Health Monitor, AMOLED",Online Mart,383,289,2,766,188,766
ORD0084,2021-01-26,Garmin,Instinct 2,Central,Health Monitor,Gadget Zone,332,291,1,332,41,332
ORD0085,2022-05-20,Apple,Watch SE,North,"AMOLED, Rugged",Fit Gear,261,197,2,522,128,522
ORD0086,2020-05-13,Amazfit,GTS 4 Mini,East,"Military Std, Rugged, AMOLED",Tech World,124,87,7,868,259,868
ORD0087,2023-04-03,Fitbit,Sense 2,East,"GPS + Cellular, AMOLED, GPS",Gadget Zone,293,204,5,1465,445,1465
ORD0088,2024-05-16,Amazfit,GTR 4,Central,GPS + Cellular,SmartTech,203,133,2,406,140,406
ORD0089,2024-07-10,Amazfit,GTS 4 Mini,West,"GPS + Cellular, Rugged",Fit Gear,115,29,7,805,602,805
ORD0090,2021-06-13,Fitbit,Sense 2,North,AMOLED,SmartTech,276,240,3,828,108,828
ORD0091,2023-05-13,Amazfit,T-Rex 2,Central,"EDA Sensor, Military Std, GPS",SmartTech,232,151,2,464,162,464
ORD0092,2022-03-31,Samsung,Galaxy Watch 6,West,"GPS + Cellular, EDA Sensor",iHub,364,336,6,2184,168,2184
ORD0093,2023-06-07,Garmin,Venu 2,Central,Bluetooth Only,iHub,351,262,7,2457,623,2457
ORD0094,2024-12-27,Garmin,Forerunner 955,North,"AMOLED, Bluetooth Only, Health Monitor",iHub,549,482,2,1098,134,1098
ORD0095,2023-04-09,Fitbit,Charge 6,East,AMOLED,iHub,143,108,6,858,210,858
ORD0096,2023-01-12,Amazfit,GTR 4,South,"GPS, Military Std, GPS + Cellular",Tech World,207,167,6,1242,240,1242
ORD0097,2021-07-05,Garmin,Instinct 2,East,Bluetooth Only,iHub,326,258,7,2282,476,2282
ORD0098,2024-11-28,Garmin,Venu 2,Central,"GPS + Cellular, GPS, Rugged",Gadget Zone,388,295,6,2328,558,2328
ORD0099,2022-02-08,Amazfit,GTS 4 Mini,East,Health Monitor,Tech World,126,72,9,1134,486,1134
ORD0100,2020-07-04,Samsung,Galaxy Watch 6,East,Health Monitor,Fit Gear,339,269,7,2373,490,2373
ORD0101,2024-02-18,Amazfit,GTR 4,Central,"Health Monitor, Sleep Track",Tech World,179,134,2,358,90,358
ORD0102,2020-08-31,Samsung,Galaxy Watch 6,West,Health Monitor,Tech World,333,267,3,999,198,999
ORD0103,2020-08-07,Apple,Watch Ultra 2,East,Bluetooth Only,SmartTech,734,644,10,7340,900,7340
ORD0104,2022-07-28,Apple,Watch Series 8,Central,"Health Monitor, AMOLED",Gadget Zone,359,291,5,1795,340,1795
ORD0105,2024-05-26,Samsung,Galaxy Watch 6,East,"EDA Sensor, Rugged, Military Std",Gadget Zone,368,295,7,2576,511,2576
ORD0106,2021-06-10,Amazfit,GTR 4,East,"AMOLED, GPS + Cellular, Bluetooth Only",Tech World,219,153,7,1533,462,1533
ORD0107,2022-09-03,Fitbit,Versa 4,North,"Health Monitor, EDA Sensor",Tech World,223,132,5,1115,455,1115
ORD0108,2021-09-23,Samsung,Galaxy Watch 5,North,"AMOLED, GPS + Cellular",Online Mart,313,275,10,3130,380,3130
ORD0109,2024-07-11,Fitbit,Versa 4,West,"Health Monitor, Sleep Track",Online Mart,227,174,5,1135,265,1135
ORD0110,2020-03-30,Apple,Watch Ultra 2,South,Military Std,Digital Mall,770,750,8,6160,160,6160
ORD0111,2022-03-28,Fitbit,Charge 6,West,"Military Std, GPS + Cellular",Fit Gear,155,135,8,1240,160,1240
ORD0112,2021-08-02,Amazfit,T-Rex 2,Central,Sleep Track,Tech World,199,177,4,796,88,796
ORD0113,2024-01-12,Fitbit,Sense 2,North,EDA Sensor,Online Mart,263,196,6,1578,402,1578
ORD0114,2021-12-16,Apple,Watch Series 8,Central,Bluetooth Only,Tech World,396,300,7,2772,672,2772
ORD0115,2022-01-25,Fitbit,Versa 4,East,"Military Std, GPS, Bluetooth Only",Gadget Zone,224,200,8,1792,192,1792
ORD0116,2024-04-05,Amazfit,GTR 4,South,"GPS + Cellular, GPS, AMOLED",iHub,179,137,5,895,210,895
ORD0117,2024-11-22,Samsung,Galaxy Watch 6,West,"Rugged, GPS + Cellular",iHub,356,319,2,712,74,712
ORD0118,2022-12-08,Apple,Watch Series 8,West,"GPS, GPS + Cellular",Digital Mall,396,318,4,1584,312,1584
ORD0119,2021-04-27,Apple,Watch Ultra 2,East,Rugged,iHub,781,693,10,7810,880,7810
ORD0120,2020-09-05,Samsung,Galaxy Watch 6,Central,"AMOLED, GPS, Rugged",Tech World,334,309,9,3006,225,3006
ORD0121,2022-07-18,Amazfit,GTR 4,East,"Rugged, EDA Sensor, Military Std",Digital Mall,185,103,9,1665,738,1665
ORD0122,2020-04-28,Fitbit,Versa 4,Central,"Sleep Track, GPS, AMOLED",iHub,213,187,2,426,52,426
ORD0123,2022-06-25,Garmin,Venu 2,West,"AMOLED, Health Monitor, Sleep Track",Digital Mall,377,304,5,1885,365,1885
ORD0124,2021-03-09,Apple,Watch Series 9,Central,"Military Std, GPS + Cellular, EDA Sensor",iHub,451,376,9,4059,675,4059
ORD0125,2020-07-12,Garmin,Venu 2,East,Military Std,Tech World,370,303,5,1850,335,1850
ORD0126,2023-07-22,Samsung,Galaxy Watch 5,North,"GPS, Health Monitor",Gadget Zone,299,268,1,299,31,299
ORD0127,2024-03-07,Fitbit,Versa 4,East,"Health Monitor, Bluetooth Only",Fit Gear,200,167,10,2000,330,2000
ORD0128,2020-06-24,Fitbit,Versa 4,East,GPS + Cellular,SmartTech,202,126,5,1010,380,1010
ORD0129,2021-08-11,Apple,Watch Series 9,West,"GPS + Cellular, Military Std, GPS",iHub,448,376,2,896,144,896
ORD0130,2023-06-28,Apple,Watch Ultra 2,Central,"Sleep Track, Rugged, GPS",SmartTech,706,683,7,4942,161,4942
ORD0131,2022-09-08,Amazfit,GTR 4,South,"GPS, Military Std, Rugged",Gadget Zone,212,179,8,1696,264,1696
ORD0132,2022-06-28,Apple,Watch Ultra 2,West,"Sleep Track, Health Monitor",Digital Mall,737,678,7,5159,413,5159
ORD0133,2022-10-02,Apple,Watch SE,North,"EDA Sensor, Military Std, Health Monitor",SmartTech,274,216,8,2192,464,2192
ORD0134,2022-02-24,Amazfit,T-Rex 2,Central,Military Std,Gadget Zone,209,163,8,1672,368,1672
ORD0135,2020-05-26,Apple,Watch Series 9,East,"GPS + Cellular, Military Std, Rugged",SmartTech,424,346,7,2968,546,2968
ORD0136,2021-03-11,Fitbit,Charge 6,West,"GPS, AMOLED, GPS + Cellular",Online Mart,130,89,5,650,205,650
ORD0137,2021-07-29,Samsung,Galaxy Watch 6,South,Military Std,SmartTech,365,330,1,365,35,365
ORD0138,2022-04-17,Apple,Watch Series 9,South,"Rugged, Sleep Track, GPS",iHub,459,364,3,1377,285,1377
ORD0139,2024-03-22,Garmin,Venu 2,South,GPS + Cellular,Fit Gear,368,286,1,368,82,368
ORD0140,2024-06-04,Fitbit,Charge 6,West,Military Std,SmartTech,155,127,10,1550,280,1550
ORD0141,2023-02-07,Amazfit,T-Rex 2,Central,Health Monitor,Tech World,205,117,5,1025,440,1025
ORD0142,2021-02-21,Samsung,Galaxy Watch 6,South,"GPS, AMOLED, GPS + Cellular",Tech World,354,262,8,2832,736,2832
ORD0143,2020-07-16,Samsung,Galaxy Watch 6,North,"GPS, Military Std",Fit Gear,368,332,5,1840,180,1840
ORD0144,2023-06-13,Fitbit,Versa 4,South,"GPS, Military Std, Health Monitor",Online Mart,217,118,3,651,297,651
ORD0145,2023-12-04,Amazfit,GTR 4,West,"Rugged, Military Std",Digital Mall,202,182,5,1010,100,1010
ORD0146,2021-07-30,Amazfit,GTR 4,South,Sleep Track,Gadget Zone,200,152,7,1400,336,1400
ORD0147,2024-08-12,Apple,Watch Ultra 2,North,"GPS, GPS + Cellular",Fit Gear,796,772,6,4776,144,4776
ORD0148,2020-04-14,Amazfit,T-Rex 2,North,"AMOLED, EDA Sensor",Gadget Zone,242,153,8,1936,712,1936
ORD0149,2024-03-15,Samsung,Galaxy Watch 6,North,"Rugged, Military Std",Tech World,373,330,1,373,43,373
ORD0150,2022-11-27,Samsung,Galaxy Watch 5,Central,"GPS, GPS + Cellular, Sleep Track",Online Mart,317,237,7,2219,560,2219
ORD0151,2022-03-06,Amazfit,GTS 4 Mini,South,"GPS, GPS + Cellular, Health Monitor",Tech World,123,73,6,738,300,738
ORD0152,2023-12-25,Apple,Watch Series 8,North,"GPS + Cellular, EDA Sensor",Digital Mall,349,257,7,2443,644,2443
ORD0153,2021-11-13,Samsung,Galaxy Watch 5,South,"Health Monitor, GPS",Fit Gear,337,288,6,2022,294,2022
ORD0154,2024-03-18,Amazfit,T-Rex 2,West,"Military Std, GPS",SmartTech,218,164,4,872,216,872
ORD0155,2021-01-19,Apple,Watch Ultra 2,Central,Rugged,iHub,703,637,1,703,66,703
ORD0156,2023-08-19,Apple,Watch Series 9,East,GPS + Cellular,Tech World,459,424,10,4590,350,4590
ORD0157,2021-01-11,Apple,Watch Series 8,Central,"GPS, Bluetooth Only, EDA Sensor",Gadget Zone,385,356,8,3080,232,3080
ORD0158,2022-11-24,Amazfit,GTR 4,Central,"EDA Sensor, Military Std",Online Mart,196,105,5,980,455,980
ORD0159,2021-07-16,Apple,Watch Ultra 2,Central,Bluetooth Only,Fit Gear,712,625,9,6408,783,6408
ORD0160,2022-10-15,Apple,Watch Ultra 2,Central,"EDA Sensor, Bluetooth Only",Online Mart,726,681,3,2178,135,2178
ORD0161,2022-07-23,Garmin,Instinct 2,North,Military Std,Fit Gear,347,274,5,1735,365,1735
ORD0162,2024-11-13,Apple,Watch Series 9,Central,"GPS, Bluetooth Only, Military Std",Tech World,447,404,3,1341,129,1341
ORD0163,2024-11-09,Garmin,Instinct 2,West,"Health Monitor, EDA Sensor",Digital Mall,332,310,6,1992,132,1992
ORD0164,2021-01-09,Garmin,Venu 2,South,"Sleep Track, EDA Sensor, GPS",iHub,386,309,4,1544,308,1544
ORD0165,2021-12-18,Samsung,Galaxy Watch 5,North,"Sleep Track, EDA Sensor",Gadget Zone,336,259,7,2352,539,2352
ORD0166,2021-08-29,Samsung,Galaxy Watch 6,West,"Sleep Track, Military Std",SmartTech,373,275,5,1865,490,1865
ORD0167,2024-03-15,Garmin,Instinct 2,North,"Bluetooth Only, Military Std",SmartTech,325,269,4,1300,224,1300
ORD0168,2023-08-13,Garmin,Forerunner 955,South,AMOLED,Digital Mall,504,415,6,3024,534,3024
ORD0169,2021-02-23,Amazfit,GTS 4 Mini,Central,"EDA Sensor, Bluetooth Only",SmartTech,106,16,7,742,630,742
ORD0170,2021-02-05,Fitbit,Sense 2,Central,"GPS, Bluetooth Only",iHub,262,201,3,786,183,786
ORD0171,2021-11-09,Fitbit,Versa 4,South,Health Monitor,Online Mart,208,111,1,208,97,208
ORD0172,2020-06-06,Apple,Watch Series 8,North,"Sleep Track, Military Std, Health Monitor",iHub,367,311,7,2569,392,2569
ORD0173,2024-09-11,Garmin,Instinct 2,North,"GPS + Cellular, Health Monitor, Bluetooth Only",SmartTech,333,253,10,3330,800,3330
ORD0174,2021-01-12,Garmin,Forerunner 955,Central,"Health Monitor, EDA Sensor",iHub,518,489,10,5180,290,5180
ORD0175,2023-11-28,Garmin,Forerunner 955,West,"Military Std, Rugged, AMOLED",Tech World,533,513,6,3198,120,3198
ORD0176,2023-05-10,Apple,Watch Series 8,North,"GPS + Cellular, GPS, Sleep Track",Tech World,397,342,9,3573,495,3573
ORD0177,2022-01-26,Apple,Watch Series 9,Central,Rugged,SmartTech,495,440,5,2475,275,2475
ORD0178,2020-11-03,Amazfit,GTS 4 Mini,West,AMOLED,Digital Mall,106,74,3,318,96,318
ORD0179,2023-04-12,Amazfit,T-Rex 2,West,Rugged,Tech World,238,158,9,2142,720,2142
ORD0180,2024-09-29,Samsung,Galaxy Watch 6,North,"GPS, Health Monitor",Gadget Zone,358,329,10,3580,290,3580
ORD0181,2020-09-16,Fitbit,Charge 6,North,"Sleep Track, Rugged",SmartTech,151,77,10,1510,740,1510
ORD0182,2020-06-28,Samsung,Galaxy Watch 5,North,Military Std,Online Mart,317,278,9,2853,351,2853
ORD0183,2022-03-09,Apple,Watch SE,South,"GPS, Sleep Track, EDA Sensor",Tech World,276,237,8,2208,312,2208
ORD0184,2020-03-05,Amazfit,GTS 4 Mini,Central,"Bluetooth Only, EDA Sensor, Health Monitor",SmartTech,122,25,1,122,97,122
ORD0185,2021-10-17,Fitbit,Charge 6,South,Health Monitor,Digital Mall,140,41,3,420,297,420
ORD0186,2022-10-04,Garmin,Forerunner 955,West,Health Monitor,Fit Gear,519,491,5,2595,140,2595
ORD0187,2023-11-20,Samsung,Galaxy Watch 6,West,"EDA Sensor, AMOLED, GPS + Cellular",Gadget Zone,373,273,9,3357,900,3357
ORD0188,2023-04-22,Amazfit,GTS 4 Mini,East,"Rugged, Sleep Track, Bluetooth Only",SmartTech,124,61,4,496,252,496
ORD0189,2022-11-21,Samsung,Galaxy Watch 5,North,Sleep Track,iHub,345,284,3,1035,183,1035
ORD0190,2022-07-09,Garmin,Instinct 2,North,Health Monitor,Fit Gear,331,269,9,2979,558,2979
ORD0191,2024-09-21,Apple,Watch SE,South,Military Std,SmartTech,257,173,9,2313,756,2313
ORD0192,2024-04-22,Apple,Watch Ultra 2,West,GPS + Cellular,Online Mart,735,693,4,2940,168,2940
ORD0193,2021-09-09,Samsung,Galaxy Watch 6,West,"Sleep Track, Military Std, Health Monitor",Gadget Zone,351,317,7,2457,238,2457
ORD0194,2024-01-26,Apple,Watch Series 9,North,AMOLED,Fit Gear,416,330,10,4160,860,4160
ORD0195,2021-02-04,Amazfit,GTS 4 Mini,Central,Military Std,Fit Gear,107,23,9,963,756,963
ORD0196,2022-09-25,Garmin,Instinct 2,Central,"Health Monitor, Military Std, AMOLED",iHub,319,242,6,1914,462,1914
ORD0197,2020-07-24,Garmin,Instinct 2,West,"Bluetooth Only, GPS + Cellular, Health Monitor",Online Mart,303,214,3,909,267,909
ORD0198,2024-06-23,Apple,Watch Series 8,South,"Health Monitor, Rugged",SmartTech,384,292,4,1536,368,1536
ORD0199,2023-07-23,Apple,Watch Series 8,East,Sleep Track,SmartTech,372,319,5,1860,265,1860
ORD0200,2023-06-26,Amazfit,GTR 4,East,"AMOLED, Health Monitor, Sleep Track",Online Mart,184,93,4,736,364,736
ORD0201,2020-06-11,Garmin,Instinct 2,South,"GPS + Cellular, AMOLED",iHub,311,253,2,622,116,622
ORD0202,2024-04-17,Garmin,Venu 2,South,GPS,Tech World,392,327,2,784,130,784
ORD0203,2023-01-21,Apple,Watch SE,Central,"Rugged, GPS + Cellular",iHub,249,209,5,1245,200,1245
ORD0204,2022-06-08,Garmin,Forerunner 955,South,"AMOLED, GPS + Cellular",Online Mart,544,450,1,544,94,544
ORD0205,2020-07-06,Fitbit,Charge 6,East,"Bluetooth Only, AMOLED",Tech World,145,82,8,1160,504,1160
ORD0206,2022-04-28,Amazfit,GTR 4,North,Health Monitor,iHub,191,146,1,191,45,191
ORD0207,2024-07-23,Amazfit,GTR 4,West,"Bluetooth Only, GPS, Health Monitor",Fit Gear,228,189,2,456,78,456
ORD0208,2021-06-13,Samsung,Galaxy Watch 5,Central,"Bluetooth Only, Sleep Track",Digital Mall,318,240,2,636,156,636
ORD0209,2021-03-14,Amazfit,GTR 4,West,"Health Monitor, GPS + Cellular",iHub,224,171,4,896,212,896
ORD0210,2021-04-07,Amazfit,T-Rex 2,South,"EDA Sensor, Sleep Track, GPS",iHub,226,205,8,1808,168,1808
ORD0211,2022-12-21,Garmin,Forerunner 955,Central,"GPS + Cellular, EDA Sensor",Gadget Zone,531,477,3,1593,162,1593
ORD0212,2024-06-21,Samsung,Galaxy Watch 6,Central,EDA Sensor,Tech World,366,337,8,2928,232,2928
ORD0213,2022-04-23,Fitbit,Versa 4,South,"AMOLED, Sleep Track, Health Monitor",Digital Mall,211,168,3,633,129,633
ORD0214,2024-12-20,Fitbit,Versa 4,West,"Military Std, GPS, Health Monitor",Fit Gear,207,155,6,1242,312,1242
ORD0215,2023-01-08,Samsung,Galaxy Watch 6,North,"Rugged, GPS + Cellular, Bluetooth Only",iHub,329,291,1,329,38,329
ORD0216,2022-10-07,Amazfit,GTS 4 Mini,Central,"Military Std, AMOLED",iHub,105,6,7,735,693,735
ORD0217,2021-07-16,Apple,Watch SE,West,"Sleep Track, Bluetooth Only, AMOLED",SmartTech,259,164,7,1813,665,1813
ORD0218,2024-11-07,Amazfit,GTS 4 Mini,North,"AMOLED, Rugged, Health Monitor",Tech World,113,85,2,226,56,226
ORD0219,2024-04-26,Fitbit,Charge 6,West,"Military Std, Bluetooth Only",Gadget Zone,153,132,2,306,42,306
ORD0220,2024-06-05,Garmin,Venu 2,North,"Bluetooth Only, Health Monitor",SmartTech,358,311,4,1432,188,1432
ORD0221,2022-02-04,Amazfit,T-Rex 2,East,"GPS + Cellular, AMOLED, EDA Sensor",Fit Gear,201,131,6,1206,420,1206
ORD0222,2023-03-06,Garmin,Instinct 2,South,"AMOLED, Rugged, Health Monitor",Tech World,345,296,4,1380,196,1380
ORD0223,2024-09-25,Samsung,Galaxy Watch 5,South,Health Monitor,Gadget Zone,347,248,7,2429,693,2429
